Datatyp;Kontrollstatus;Kontrollerad av;År;Stationsnamn;Rapporterat stationsnamn;ID Provplats;ID Övervakningsstation;Projekt;Beställare;Besöks-ID;Provtagningsdatum;Shark prov id MD5;Provtagningsdatum (start);Provtagningstid (start);Provtagningsdatum (slut);Provtagningstid (slut);Provets latitud (DM);Provets longitud (DM);Provets latitud (DD);Provets longitud (DD);Vattendjup vid stationen;Besökskommentar;Rapporterat id;Provets övre djup;Provets nedre djup;Provtagningslaboratorium;Provkommentar;Vetenskapligt namn;Art-flagga;Dyntaxa-ID;Parameter;Mätvärde;Mätenhet;Q-flagga;Värde beräknat av datavärd;Kön (kod);Utvecklingsstadium (kod);Trofityp (kod);Storleksklass;Metoddokument;Metodreferens (kod);Variabel-kommentar;Analyslaboratorium;Vattenkategori;Vattendistrikt;Vattenförekomst;Vattenförekomst-kod;Typområde;Havsbassäng;HELCOM/OSPAR-område;Ekonomisk zon;Län;Kommun;Stationid VISS;Rike;Stam;Klass;Ordning;Familj;Släkte;Art;Föräldrataxa;Rödlista kategori;Rapporterat vetenskapligt namn;Rapporterad parameter;Rapporterat värde;Rapporterad enhet;Leveranspaket;Filnamn
Zoobenthos;Klar;Leverantör;2008;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;-;;2008-05-10;5eacca78e159110f32751fbdec7c8a37;2008-05-10;;;;55 44.99;15 43.54;55,74982;15,72563;50;Ursprunglig koordinat 55449909 15435380 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 55449887 15435385 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,62069;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2007_2010_SUSE_Nat;SHARK_Zoobenthos_2007_2010_SUSE_Nat_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2007;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;-;;2007-05-11;6955f65a6f0c734fb215aa86a4519443;2007-05-11;;;;55 44.99;15 43.54;55,74985;15,72563;50;Ursprunglig koordinat 55449909 15435380 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 55449909 15435380 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;33,5852;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2007_2010_SUSE_Nat;SHARK_Zoobenthos_2007_2010_SUSE_Nat_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2006;HBP216;HBP 216;00135960;00264276;NAT Nationell miljöövervakning;Naturvårdsverket;;2006-05-17;58a3b50cc9da142587e394888b1676a5;2006-05-17;;;;55 40.89;14 42.39;55,68143;14,70658;56;Ursprunglig koordinat 554086 144270 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Astarte,skorv,Macoma Ursprunglig koordinat 55408863 14423949 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,32639;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Hanöbuktens utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2005;I:2;I: 2;00135400;00263726;NAT Nationell miljöövervakning;Naturvårdsverket;;2005-05-19;d7a4cbceffbded16e139e402dfb7969f;2005-05-19;;;;55 07.45;13 15.68;55,12412;13,26138;40;Ursprunglig koordinat 550754 131608 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 55074475 13156832 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;9,66184;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Arkonahavets utsjövatten;;;13 - Arkonahavet och Södra Öresund;HELCOM;;;;SE611353-133815;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2005;HBP216;HBP 216;00135960;00264276;NAT Nationell miljöövervakning;Naturvårdsverket;;2005-05-18;93e1877b7866b557388cd17017a5e2fa;2005-05-18;;;;55 40.88;14 42.39;55,68142;14,70652;56;Ursprunglig koordinat 554086 144270 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Macoma, Astarte, Diastylis i provet Ursprunglig koordinat 55408850 14423914 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,34725;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Hanöbuktens utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2005;TORH 13;Torh 13;00135308;00263636;NAT Nationell miljöövervakning;Naturvårdsverket;;2005-05-17;5fdb21224546e67077771476cc486190;2005-05-17;;;;55 45.00;15 43.54;55,74995;15,72565;52;Ursprunglig koordinat 554500 154369 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 55449972 15435394 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;25,0417;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2004;TORH 13;Torh 13;00135308;00263636;NAT Nationell miljöövervakning;Naturvårdsverket;;2004-05-09;7caed527af5523f876a10738f73376cb;2004-05-09;;;;55 45.00;15 43.54;55,74995;15,72565;52;Ursprunglig koordinat 554500 154369 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Sand on stiff clay.  Macoma, Pygospio, Mytilus, Halicryptus Vitmärla, Saduria, Bylgides Ursprunglig koordinat 55449972 15435394 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;49,8753;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1999;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1999-05-22;09e99de77f01456c5d0ca3740b4e19ab;1999-05-22;;;;55 33.07;18 23.66;55,55122;18,39440;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 5533073 1823664;3;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;9,80392;ind/m2;;Y;;;;;;;stor;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1998;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1998-05-28;154d33d6e95d89250a48d3b8d15d21a7;1998-05-28;;;;55 33.07;18 23.65;55,55117;18,39417;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 553307 182365 WGS 84;1;;;Stockholms universitet;NV4;Saduria entomon;;101726;Abundance;19,6078;ind/m2;;Y;;;;;;;;-;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1998;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1998-05-28;259644587a6bf4d0f59eb92b693c3378;1998-05-28;;;;55 33.07;18 23.65;55,55117;18,39417;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 553307 182365 WGS 84;3;;;Stockholms universitet;NV4;Saduria entomon;;101726;Abundance;9,80392;ind/m2;;Y;;;;;;;;-;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1998;TORH 13;Torh 13;00135308;00263636;NAT Nationell miljöövervakning;Naturvårdsverket;;1998-05-21;5e83cf88cafe5820b34e846ad64a3890;1998-05-21;;;;55 44.99;15 43.53;55,74988;15,72548;52;Ursprunglig koordinat 554500 154369 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / sand on top Ursprunglig koordinat 5544993 1543529 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;69,0846;ind/m2;;Y;;;;;;;4 ad, 4 juv;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;3001 N KOPPARSTENARNA;3001;00157844;00265441;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-14;1428709fb16013bbc121f17ff1d3b27a;1997-05-14;;;;58 38.06;19 13.07;58,63430;19,21783;35,5;Ursprunglig koordinat 583800 191300 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 5838058 1913070;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;25,9067;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av V Gotlandshavets utsjövatten;;;08 - Västra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-13;7dbc240aa2bd327c2ce2863ca42684da;1997-05-13;;;;55 33.08;18 23.64;55,55133;18,39400;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 553308 182364 WGS 84;2;;;Stockholms universitet;NV4djup 90.5;Saduria entomon;;101726;Abundance;19,6078;ind/m2;;Y;;;;;;;;-;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-13;58fb6c3c74ae002b6901d9c079162c7e;1997-05-13;;;;55 33.08;18 23.64;55,55133;18,39400;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 553308 182364 WGS 84;3;;;Stockholms universitet;NV4djup 90;Saduria entomon;;101726;Abundance;9,80392;ind/m2;;Y;;;;;;;;-;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-13;d50fd612abb7e8cbd8e0e41b1a5158d2;1997-05-13;;;;55 33.08;18 23.64;55,55133;18,39400;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 553308 182364 WGS 84;4;;;Stockholms universitet;NV4djup 90;Saduria entomon;;101726;Abundance;19,6078;ind/m2;;Y;;;;;;;;-;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;HBP216;HBP 216;00135960;00264276;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-09;cc3b0672b51b53b5b36838654eff3c72;1997-05-09;;;;55 40.88;14 42.39;55,68138;14,70650;56;Ursprunglig koordinat 554086 144270 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 5540883 1442390;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,63558;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Hanöbuktens utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;TORH 13;Torh 13;00135308;00263636;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-09;4c647d23540222078484c2b7f5181840;1997-05-09;;;;55 44.99;15 43.54;55,74977;15,72567;52;Ursprunglig koordinat 554500 154369 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 5544986 1543540 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;17,2712;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1997;4006;4006;;;NAT Nationell miljöövervakning;Naturvårdsverket;;1997-05-07;99649dab562bebaff1aad9987abfbc5e;1997-05-07;;;;57 34.18;17 26.72;57,56967;17,44542;66;Ursprunglig koordinat 573570 172700 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 573418 1726725;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;25,9067;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av V Gotlandshavets utsjövatten;;;08 - Västra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_1;SHARK_Zoobenthos_1971_2006_SUSE_1_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1996;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1996-05-14;5184b31dec9bac7265652725c3b29d5a;1996-05-14;;;;55 33.07;18 23.65;55,55125;18,39415;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / 90.5, 90, 90, 90.5, 90.5 Ursprunglig koordinat 5533075 1823649;1;;;Stockholms universitet;NV4;Saduria entomon;;101726;Abundance;9,80392;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;1996;BCS III-10;BCS III-10;00135636;00263953;NAT Nationell miljöövervakning;Naturvårdsverket;;1996-05-14;082c4c68da033871e263e05de689bc53;1996-05-14;;;;55 33.07;18 23.65;55,55125;18,39415;90;Ursprunglig koordinat 553300 182400 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / 90.5, 90, 90, 90.5, 90.5 Ursprunglig koordinat 5533075 1823649;2;;;Stockholms universitet;NV4;Saduria entomon;;101726;Abundance;29,4118;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Ö Gotlandshavets utsjövatten;;;09 - Östra Gotlandshavet;HELCOM;;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_1971_2006_SUSE_2;SHARK_Zoobenthos_1971_2006_SUSE_2_version_2020-10-27.zip
