Datatyp;Kontrollstatus;Kontrollerad av;År;Stationsnamn;Rapporterat stationsnamn;ID Provplats;ID Övervakningsstation;Projekt;Beställare;Besöks-ID;Provtagningsdatum;Shark prov id MD5;Provtagningsdatum (start);Provtagningstid (start);Provtagningsdatum (slut);Provtagningstid (slut);Provets latitud (DM);Provets longitud (DM);Provets latitud (DD);Provets longitud (DD);Vattendjup vid stationen;Besökskommentar;Rapporterat id;Provets övre djup;Provets nedre djup;Provtagningslaboratorium;Provkommentar;Vetenskapligt namn;Art-flagga;Dyntaxa-ID;Parameter;Mätvärde;Mätenhet;Q-flagga;Värde beräknat av datavärd;Kön (kod);Utvecklingsstadium (kod);Trofityp (kod);Storleksklass;Metoddokument;Metodreferens (kod);Variabel-kommentar;Analyslaboratorium;Vattenkategori;Vattendistrikt;Vattenförekomst;Vattenförekomst-kod;Typområde;Havsbassäng;HELCOM/OSPAR-område;Ekonomisk zon;Län;Kommun;Stationid VISS;Rike;Stam;Klass;Ordning;Familj;Släkte;Art;Föräldrataxa;Rödlista kategori;Rapporterat vetenskapligt namn;Rapporterad parameter;Rapporterat värde;Rapporterad enhet;Leveranspaket;Filnamn
Zoobenthos;Klar;Leverantör;2016;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2016-05-15;8db462812ceb7e4c1dfbb7bba187a0c5;2016-05-15;;;;55 44.99;15 43.54;55,74980;15,72572;50;Ursprunglig koordinat 55449909 15435380 WGS 84 / GPS 084.;1;51;51;Stockholms universitet;;Saduria entomon;;101726;Abundance;25,729;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2016_DEEP;SHARK_Zoobenthos_2016_DEEP_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2015;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2015-05-15;465ff7afc07ab910ce9254429c1083ca;2015-05-15;;;;59 24.50;19 57.10;59,40840;19,95173;42;Ursprunglig koordinat 59245094 19571021 WGS 84;1;42;42;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,29187;ind/m2;;Y;;;;;SIS 2006. Vattenundersökningar – vägledning för kvantitativ provtagning av makrofauna på marina mjukbottnar, SS-EN ISO 16665:2006. Naturvårdsverket 1986. BIN BR 06 (Inventering av makroskopisk mjukbottenfauna i havet), Recipientkontroll Vatten, Metodbeskrivningar Del I, Undersökningsmetoder för Basprogram, Naturvårdsverket Rapport 3108. Naturvårdsverket 2004. Undersökningstyp: Mjukbottenlevande makrofauna, trend och områdesövervakning.;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2015_DEEP;SHARK_Zoobenthos_2015_DEEP_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2014;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2014-05-09;0173237d24c21be674387839672ed520;2014-05-09;;;;55 44.99;15 43.54;55,74985;15,72563;50;Ursprunglig koordinat 55449909 15435380 WGS 84;1;51;51;Stockholms universitet;;Saduria entomon;;101726;Abundance;33,1675;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2014_DEEP;SHARK_Zoobenthos_2014_DEEP_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2013;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2013-05-17;c4fd172add4dd3029d9ede819ec20d5f;2013-05-17;;;;59 24.51;19 57.11;59,40852;19,95182;42;Ursprunglig koordinat 59245094 19571021 WGS 84;1;42,5;42,5;Stockholms universitet;;Saduria entomon;;101726;Abundance;16,5837;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2013_DEEP;SHARK_Zoobenthos_2013_DEEP_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2012;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;Havs- och vattenmyndigheten;;2012-05-18;8ba859df736989b66afa30940600f7c1;2012-05-18;;;;59 24.51;19 57.10;59,40852;19,95170;42;Ursprunglig koordinat 59245094 19571021 WGS 84 / Mz-hugg annorlunda från ordinarie hugg: Sten, grus och lera. Ca. 6 Saduria, 10 Halicryptus, ett gäng -poreior samt enstaka cm-stora Macoma.;1;42;42;Stockholms universitet;;Saduria entomon;;101726;Abundance;58,6265;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2012_SUSE;SHARK_Zoobenthos_2012_SUSE_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2011;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;Naturvårdsverket;;2011-05-22;4fa242b4ad50e691f12806e445424d79;2011-05-22;;;;59 24.50;19 57.10;59,40842;19,95175;42;Ursprunglig koordinat 59245094 19571021 WGS 84;1;42;42;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,29876;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2011_SUSE;SHARK_Zoobenthos_2011_SUSE_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2011;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;Naturvårdsverket;;2011-05-14;2f30081431a2d0c47935fa662cc56e5a;2011-05-14;;;;55 45.00;15 43.53;55,75007;15,72542;50;Ursprunglig koordinat 55449909 15435380 WGS 84;1;50;50;Stockholms universitet;;Saduria entomon;;101726;Abundance;66,39;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2011_SUSE;SHARK_Zoobenthos_2011_SUSE_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2010;SB 6;SB 6;00135359;00263687;NAT Nationell miljöövervakning;-;;2010-05-20;770a65e8cf0bddd03e3d413f967e3adf;2010-05-20;;;;59 24.50;19 57.10;59,40842;19,95175;42;Ursprunglig koordinat 59245094 19571021 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 59245094 19571021 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,20345;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av N Gotlandshavets utsjövatten;;;07 - Norra Gotlandshavet;HELCOM;;;;SE659487-173539;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2007_2010_SUSE_Nat;SHARK_Zoobenthos_2007_2010_SUSE_Nat_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2009;TORH 13;TORH 13;00135308;00263636;NAT Nationell miljöövervakning;-;;2009-05-08;581b72c2fade21c38aa23d58293c03d5;2009-05-08;;;;55 44.99;15 43.54;55,74983;15,72567;50;Ursprunglig koordinat 55449909 15435380 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / Ursprunglig koordinat 554499 154354 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;8,57633;ind/m2;;Y;;;;;;;;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Bornholmshavets utsjövatten;;;12 - Bornholmshavet och Hanöbukten;HELCOM;;;;SE618007-149500;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2007_2010_SUSE_Nat;SHARK_Zoobenthos_2007_2010_SUSE_Nat_version_2020-10-27.zip
Zoobenthos;Klar;Leverantör;2008;I:2;I:2;00135400;00263726;NAT Nationell miljöövervakning;-;;2008-05-11;a872a9afa12977f7bb7cec3d8dd53db3;2008-05-11;;;;55 07.43;13 15.68;55,12382;13,26137;38,5;Ursprunglig koordinat 55074333 13156875 WGS 84 / Konserveringsmetod: BIN BR 06 4 % formaldehydlösning buffrad med hexametylentetramin Naturvårdsverket 1986. Recipientkontroll vatten. Metodbeskrivningar Del I. Undersökningsmetoder för basprogram. Naturvårdsverket Rapport 3108. / I hugg; arctica isl, diastylis och halicryptus Ursprunglig koordinat 55074293 13156823 WGS 84;1;;;Stockholms universitet;;Saduria entomon;;101726;Abundance;19,2678;ind/m2;;Y;;;;;;;juv;Stockholms universitet;Utsjövatten;Övriga områden utanför Sverige;Del av Arkonahavets utsjövatten;;;13 - Arkonahavet och Södra Öresund;HELCOM;;;;SE611353-133815;Animalia;Arthropoda;Malacostraca;Isopoda;Chaetilidae;Saduria;Saduria entomon;Biota - Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Isopoda - Valvifera - Chaetilidae - Saduria - Saduria entomon;Ej rödlistad;Saduria entomon;;;;SHARK_Zoobenthos_2007_2010_SUSE_Nat;SHARK_Zoobenthos_2007_2010_SUSE_Nat_version_2020-10-27.zip
