"","SubDiv","Year","lngt_class","Mean_cond"
"135",27,2002,"50+",0.906074412803095
"136",27,2003,"< 30",0.819753858268143
"137",27,2003,"30-50",0.96024415677395
"138",27,2005,"< 30",0.940070235996209
"139",27,2005,"30-50",0.891025748783366
"140",27,2005,"50+",0.826998716046375
"141",27,2006,"< 30",0.95075749371196
"142",27,2006,"30-50",0.904904044695566
"143",27,2006,"50+",0.899971881067103
"144",27,2007,"< 30",0.959706495386556
"145",27,2007,"30-50",0.874541483225781
"146",27,2007,"50+",0.785939169860712
"147",27,2008,"< 30",0.934594081425696
"148",27,2008,"30-50",0.908598545297995
"149",27,2008,"50+",0.955425925042343
"150",27,2009,"< 30",0.920363852281647
"151",27,2009,"30-50",0.85880779542762
"152",27,2009,"50+",0.856362930092293
"153",27,2010,"< 30",0.999442772234719
"154",27,2010,"30-50",0.916666986312977
"155",27,2010,"50+",0.812799242453806
"156",27,2011,"< 30",0.817096717503292
"157",27,2011,"30-50",0.872518238003313
"158",27,2012,"< 30",0.845971408675844
"159",27,2012,"30-50",0.908719799750285
"160",27,2014,"< 30",0.937980175097791
"161",27,2014,"30-50",0.927761125595658
"162",27,2014,"50+",1.05378212194956
"163",27,2015,"< 30",0.919875792054562
"164",27,2015,"30-50",0.878653610159791
"165",27,2016,"< 30",0.862558050188279
"166",27,2016,"30-50",0.86058930846682
"167",27,2016,"50+",0.802729325066282
"168",27,2018,"< 30",0.906311659042476
"169",27,2018,"30-50",0.878761736870321
"170",27,2018,"50+",0.88112035723301
"171",27,2019,"< 30",0.956481191352113
"172",27,2019,"30-50",0.902894700355596
"173",28,1976,"< 30",0.923405548641062
"174",28,1976,"30-50",1.01955651467095
"175",28,1976,"50+",0.995613743905885
"176",28,1978,"< 30",0.907688746364956
"177",28,1978,"30-50",0.930869868128623
"178",28,1978,"50+",0.928514695084501
"179",28,1979,"< 30",1.05744831199154
"180",28,1979,"30-50",1.06624810914435
"181",28,1979,"50+",0.997724874979245
"182",28,1981,"< 30",0.987411808092605
"183",28,1981,"30-50",1.03970968425241
"184",28,1981,"50+",1.00988696815478
"185",28,1982,"< 30",0.994352194007477
"186",28,1982,"30-50",1.05178061447638
"187",28,1982,"50+",1.0144084892407
"188",28,1983,"< 30",0.994017894049165
"189",28,1983,"30-50",1.01537714489196
"190",28,1983,"50+",1.03084177070748
"191",28,1984,"< 30",1.04144135638799
"192",28,1984,"30-50",1.01369439537917
"193",28,1984,"50+",0.982526296710808
"194",28,1985,"< 30",1.12085104684193
"195",28,1985,"30-50",1.16949076256712
"196",28,1985,"50+",1.12460713152495
"197",28,1986,"< 30",1.20327727279991
"198",28,1986,"30-50",1.09968431404835
"199",28,1986,"50+",0.958165485877153
"200",28,1987,"< 30",1.18458915664612
"201",28,1987,"30-50",1.16053589280569
"202",28,1987,"50+",1.15426235001784
"203",28,1988,"< 30",1.03956822556159
"204",28,1988,"30-50",1.14710251899791
"205",28,1988,"50+",1.09980988982639
"206",28,1989,"< 30",1.15414281727478
"207",28,1989,"30-50",1.17138062802756
"208",28,1989,"50+",1.04104378159953
"209",28,1990,"< 30",1.05205902623456
"210",28,1990,"30-50",1.1073413877049
"211",28,1990,"50+",1.03974856139942
"212",28,1991,"< 30",1.18479755267604
"213",28,1991,"30-50",1.06764676404564
"214",28,1991,"50+",1.03460751944249
"215",28,1993,"< 30",1.10515205719787
"216",28,1993,"30-50",1.27859855016026
"217",28,1993,"50+",1.20182901354892
"218",28,1994,"< 30",1.08040504852261
"219",28,1994,"30-50",1.08347308379913
"220",28,1994,"50+",0.987048288744225
"221",28,1995,"< 30",1.14868911758322
"222",28,1995,"30-50",1.12787378842277
"223",28,1995,"50+",1.03195019412243
"224",28,1996,"< 30",1.07723534518482
"225",28,1996,"30-50",1.27197545267506
